79.57,5.482883095741272,0.7926565874730022,0.9641393442622951,0.6596958174904943,0.7753346080305927,0.6225614927905004,0.8886699507389163,0.5166872682323856,0.8790650406504065,0.9512953367875647,0.8969465648854962,0.734,0.941,0.694,0.811,0.734,0.902,0.418,0.865,0.918,0.94
81.63,4.9673676788806915,0.8008429926238145,0.9770833333333333,0.7665148063781321,0.8702702702702703,0.7784810126582279,0.9331941544885177,0.46593255333792155,0.8509874326750448,0.927663734115347,0.9515789473684211,0.76,0.938,0.673,0.805,0.615,0.894,0.677,0.948,0.949,0.904
82.91,4.652268677949905,0.8224195338512763,0.9925053533190579,0.6822276822276823,0.7616229923922232,0.8271954674220963,0.9369918699186992,0.5708812260536399,0.90992835209826,0.951417004048583,0.9020715630885122,0.741,0.927,0.833,0.901,0.584,0.922,0.596,0.889,0.94,0.958
84.23,4.4219929575920105,0.7587758775877588,0.9795918367346939,0.7874865156418555,0.8424124513618677,0.6580502215657311,0.9432835820895522,0.7259528130671506,0.9513574660633484,0.9262452107279694,0.8754480286738351,0.843,0.96,0.73,0.866,0.891,0.948,0.4,0.841,0.967,0.977
84.3,4.287767708301544,0.8462401795735129,0.990506329113924,0.8197674418604651,0.8160073597056118,0.7595190380761523,0.945,0.5630182421227198,0.9476678043230944,0.9538152610441767,0.8634361233480177,0.754,0.939,0.705,0.887,0.758,0.945,0.679,0.833,0.95,0.98
84.57,4.222470283508301,0.8857509627727856,0.9708249496981891,0.8143009605122732,0.8339658444022771,0.8025258323765786,0.9823982398239824,0.5447154471544715,0.8975124378109453,0.9495049504950495,0.8915441176470589,0.69,0.965,0.763,0.879,0.699,0.893,0.737,0.902,0.959,0.97
85.96,4.019894391298294,0.7300813008130081,0.9845679012345679,0.7189597315436241,0.8408007626310772,0.7877551020408163,0.967280163599182,0.7733812949640287,0.9267803410230692,0.9575936883629191,0.9292635658914729,0.898,0.957,0.857,0.882,0.772,0.946,0.43,0.924,0.971,0.959
83.91,4.469521075487137,0.7346251053074979,0.9906639004149378,0.6362349610757254,0.8150807899461401,0.8131736526946107,0.9941037735849056,0.8042105263157895,0.8085456039441249,0.9554455445544554,0.9647812166488794,0.872,0.955,0.899,0.908,0.679,0.843,0.382,0.984,0.965,0.904
86.38,3.7119532227516174,0.821501014198783,0.9817444219066938,0.8456221198156681,0.8528846153846154,0.7668246445497631,0.967280163599182,0.6137865911237016,0.9391124871001032,0.9579158316633266,0.9123468426013195,0.81,0.968,0.734,0.887,0.809,0.946,0.65,0.91,0.956,0.968
86.95,3.682548016309738,0.7981308411214953,0.9787878787878788,0.8785276073619632,0.887396694214876,0.7347457627118644,0.9770114942528736,0.6524453694068678,0.9208984375,0.9535113748763601,0.9384765625,0.854,0.969,0.716,0.859,0.867,0.935,0.627,0.943,0.964,0.961
